state,01 Upper Crust Count,02 Networked Neighbors Count,03 Movers & Shakers Count,04 Young Digerati Count,05 Country Squires Count,06 Winner's Circle Count,07 Money & Brains Count,08 Gray Power Count,"09 Big Fish, Small Pond Count",10 Executive Suites Count,11 Fast-Track Families Count,12 Cruisin' to Retirement Count,13 Upward Bound Count,14 Kids & Cul-de-Sacs Count,15 New Homesteaders Count,16 Beltway Boomers Count,17 Urban Elders Count,18 Mayberry-ville Count,19 American Dreams Count,20 Empty Nests Count,21 The Cosmopolitans Count,22 Middleburg Managers Count,23 Township Travelers Count,24 Pickup Patriarchs Count,25 Up-and-Comers Count,26 Home Sweet Home Count,27 Big Sky Families Count,28 Country Casuals Count,29 White Picket Fences Count,31 Connected Bohemians Count,30 Pools & Patios Count,32 Traditional Times Count,33 Second City Startups Count,34 Young & Influential Count,35 Urban Achievers Count,36 Toolbelt Traditionalists Count,"37 Bright Lights, Li'l City Count",38 Hometown Retired Count,"39 Kid Country, USA Count",40 Aspiring A-Listers Count,41 Domestic Duos Count,42 Multi-Culti Mosaic Count,43 City Roots Count,44 Country Strong Count,45 Urban Modern Mix Count,46 Heartlanders Count,47 Striving Selfies Count,48 Generation Web Count,49 American Classics Count,50 Metro Grads Count,51 Campers & Camo Count,52 Simple Pleasures Count,53 Lo-Tech Singles Count,54 Struggling Singles Count,"55 Red, White & Blue Count",56 Multi-Culti Families Count,57 Back Country Folks Count,58 Golden Ponds Count,59 New Melting Pot Count,60 Small-Town Collegiates Count,61 Second City Generations Count,62 Crossroad Villagers Count,63 Low-Rise Living Count,64 Family Thrifts Count,65 Young & Rustic Count,66 New Beginnings Count,67 Park Bench Seniors Count,68 Bedrock America Count,99 Unassigned Count
Alabama,5232,3784,7277,0,40190,6530,0,5872,28798,10754,41962,11635,7955,10487,21347,9464,0,23406,0,11895,0,14984,51653,20337,13950,12151,112018,72878,53834,0,9793,23970,7075,9278,0,34713,19372,61231,42634,0,5708,0,0,158176,0,28438,28520,38037,13737,25629,72700,32849,55805,35064,62812,0,192897,77158,15832,36531,12412,32323,0,36494,177031,23379,19667,63219,0
Alaska,1286,2802,1790,0,6723,5050,0,2381,3861,5876,22837,7725,3465,5880,10210,3149,0,8155,0,1729,0,6017,6008,3580,9485,5136,24149,4778,12039,0,3638,2159,1587,628,0,3577,2913,2465,4231,0,667,0,0,13494,0,5494,1037,11239,2620,2539,3585,4927,883,1864,5500,0,3647,3294,4606,6309,2129,1230,0,1062,6451,1206,1503,1068,0
Arizona,22345,23561,29298,29549,92152,43665,36010,31951,60654,34193,21477,53743,22238,48262,22030,38645,8370,45219,54445,87831,51306,61836,41807,16279,41258,39227,21164,19669,33793,29348,62527,70334,34571,25549,85331,59432,25674,29848,26370,37798,48939,101984,87204,37744,121278,20621,28851,31760,39720,21851,33710,43178,29170,21362,18574,96307,56544,42758,19650,13154,32654,46734,153267,5995,36673,14088,15576,11381,0
Arkansas,739,504,1080,0,23117,979,0,1655,12781,6766,13703,6331,5384,5173,17237,4202,0,7911,0,5428,0,8974,14916,12876,8093,8698,70711,45348,42873,0,9415,14047,6875,4814,0,17145,9596,27138,24004,0,4911,0,0,98901,0,25808,22567,15240,10550,17049,48576,29872,18849,14058,60547,0,112138,45425,15023,34979,15149,21346,0,19544,87316,14622,10340,42636,0
California,354091,232728,388576,671817,181443,336624,752210,257779,146904,103740,109371,391863,214079,210031,46443,139276,541557,160453,419149,159292,314835,312729,52445,41556,184619,88922,43424,44067,94617,394656,183670,79128,162132,151068,424012,209628,92978,65009,62309,466917,106169,631180,277542,83448,307445,46620,105442,73894,171059,76497,75019,58026,82226,63408,35148,560133,62320,78810,185975,43114,127258,47189,493117,47956,47770,100300,77539,39982,0
Colorado,29921,38954,47618,54239,114334,52748,36485,33491,48680,37032,121453,49924,36776,55924,21472,30180,8564,79419,62569,33900,71913,52825,27933,13127,39016,18774,17635,13619,32472,78369,24189,24936,13121,20172,64621,33784,19641,14415,11924,30186,18874,44549,29730,45542,39759,21230,45285,52999,27344,34337,22567,24769,13972,19037,17821,25890,18824,20041,18858,20233,18570,11438,50503,5161,15377,17366,10907,11011,0
Connecticut,20882,13233,24496,420,124307,16136,811,24332,90827,18593,38308,57988,25411,14939,18211,18332,675,45680,2244,28974,665,52843,14379,30997,34193,24581,8746,6045,17343,250,19579,45041,13283,19446,1718,54692,32239,21345,11291,509,18925,14620,5794,12949,14405,7589,22605,36128,34236,19939,12297,6087,14038,13847,2296,7038,2053,15649,54002,11289,6863,17937,7823,30510,834,21499,25129,2304,0
Delaware,2633,785,3242,0,15348,1943,0,5152,16493,6115,8641,13964,5136,5064,5518,5462,0,10065,0,8946,0,14635,8256,6085,7009,7708,8125,7553,5657,0,5502,23543,3197,3366,0,15075,11310,8477,6459,0,2909,0,0,11135,0,6014,5847,5200,7951,7169,10193,6051,6197,8222,4812,0,6076,12388,7896,4096,2990,8652,0,5176,5067,5607,5085,5655,0
District of Columbia,2316,1875,2335,57371,0,551,16361,685,0,724,0,270,594,207,0,125,19529,0,16049,112,35047,390,0,0,570,80,0,0,0,69322,40,0,36,141,5701,423,121,0,0,26556,359,10723,3618,0,10343,0,0,792,298,35,0,0,111,115,0,2565,0,0,25,0,67,0,22694,198,0,0,854,0,0
Florida,77416,31368,73100,59834,132730,65274,122922,127878,169909,111708,93078,236671,93011,89740,75111,111844,30670,85722,106599,430828,64342,289843,106956,81603,168867,125106,69356,64195,131310,49042,108324,271542,99008,70777,176092,373718,184559,135114,113894,62166,252745,133001,188883,132763,297558,48217,152269,192036,267082,136946,149265,75898,217746,182018,58259,41667,130588,174806,136193,71837,88377,190209,195125,86024,88888,92289,104759,62620,0
Georgia,30083,52426,67046,22880,90625,67481,2418,28369,56359,48115,59345,61920,66458,56740,56417,55183,2823,48136,2452,25292,16938,74184,105087,55817,94394,49587,134062,87285,141344,30310,49289,41732,45727,77802,1065,87370,61140,89806,110006,6842,15986,594,1831,186933,6256,40748,77005,66308,44764,83223,142464,46658,71574,49856,73392,449,177425,108785,98814,77960,43044,40273,9700,66259,181118,77044,44865,79859,0
Hawaii,12923,4590,10219,14039,5025,7815,40922,17370,9812,3613,8884,16374,8206,5299,6303,3082,8565,14598,26221,7490,13644,16023,139,8260,6984,1381,1768,1565,8455,6192,2104,9628,3381,5810,24888,10083,3835,9400,3213,7209,2276,2312,14513,6175,3798,4266,2118,1351,5814,898,1884,7621,1292,1595,2737,2573,13101,4019,3153,2137,1448,3812,17868,1121,933,1718,1594,335,0
Idaho,1237,1815,3198,0,12975,5793,0,3858,8200,16260,29611,13514,13737,15310,13038,14264,0,24990,0,11537,0,24101,11833,8954,13993,15695,25660,14653,12218,0,17388,8031,12221,622,0,20633,15251,10762,14080,0,6013,0,0,45350,0,17926,1549,36561,18007,16406,17236,21721,9728,14400,14962,0,21638,14165,8824,7499,9894,5321,0,5952,11601,360,5367,6403,0
Illinois,46522,54673,76195,127664,84353,65327,69420,75127,60524,91312,54159,166797,28941,45433,58981,55956,51140,40604,65900,86727,105310,190362,39610,52817,45478,72281,116480,90622,52622,143344,82250,49477,56837,22302,80256,146773,88387,60350,44883,78140,43025,103230,74946,103628,182101,47560,51393,66147,96305,86591,86907,51690,75241,86097,43514,60165,54750,90573,46633,30069,74165,45850,119606,32471,31434,32301,48564,35152,0
Indiana,5722,11175,11954,0,58820,15991,0,11846,40292,35348,47439,36870,21008,28633,49260,26676,0,28922,0,29411,0,46594,53862,44671,30628,60726,152907,92849,53025,0,55949,37834,25024,25548,0,76896,56706,60034,51222,0,18724,0,0,142650,0,48768,72892,55072,53709,80729,94393,34812,74328,74539,49683,0,65776,84146,45848,32398,46513,36951,0,52861,50162,38995,40316,36180,0
Iowa,1384,3679,3251,0,21303,5768,0,4338,15413,27158,54659,16243,10866,12981,24448,8070,0,28129,0,14273,0,21450,11093,16754,13025,28488,94969,70445,27521,0,22500,15718,11038,7020,0,31275,23845,21103,16247,0,12267,0,0,82315,0,38543,29063,28857,24982,41274,39930,38521,20040,28568,35034,0,28796,32510,12058,20277,18407,20299,0,8546,19899,11714,10933,14177,0
Kansas,6755,10415,10889,0,22253,16130,0,10393,11482,23704,33508,23873,12601,16473,15223,12726,0,19560,0,19988,0,29364,10995,9915,30394,22444,49796,34152,26376,0,16137,8981,10863,1004,0,32668,20454,17779,15808,0,8715,0,0,60718,0,29121,3871,81772,27295,29129,29904,26057,20373,23663,29733,0,29208,25733,18220,15879,17943,10484,0,14807,19160,3069,11690,17635,0
Kentucky,3570,3049,5659,2352,27055,4869,3348,7120,19714,18426,31523,22384,7902,13927,17723,14387,1284,19778,3962,17166,6469,30633,18606,20658,19764,26070,97318,53345,38943,3899,23131,16924,11990,7503,5912,38671,28530,32872,26730,4901,8392,7204,6550,135440,31708,31894,15592,34133,23638,25886,48063,22379,24801,25515,66681,3785,142455,52736,24257,27686,15048,15500,17760,17874,157389,15156,17484,39603,0
Louisiana,1789,1298,2731,12942,13516,2576,21474,3519,17964,13363,24282,16105,6663,8610,22122,9237,5891,10216,23069,12852,16297,23247,47751,19783,12082,17258,70544,36855,39289,8352,14898,13494,13526,6853,22500,37909,24404,44363,38995,12092,5576,6171,19655,98070,37760,22551,20744,28730,23933,25204,76408,15059,59995,40660,45789,697,99500,79297,13978,27682,18508,22884,20739,46622,111629,15932,20119,60237,0
Maine,719,253,985,0,12871,564,0,1143,13524,3354,35200,4603,4282,2195,7896,2204,0,35491,0,3097,0,5781,3461,8844,5138,2874,40247,33528,9901,0,1371,13104,918,2842,0,5847,3850,9538,5917,0,3154,0,0,60347,0,32691,5920,5022,5983,2101,8660,32726,2030,2151,28466,0,45266,14815,5666,9854,631,10406,0,4157,21680,4011,4929,6715,0
Maryland,65158,47468,81317,17110,102276,63002,12064,47761,58205,33672,65031,89380,27826,87815,18375,64030,9034,61600,12078,31552,27304,71589,34568,22694,54116,31796,14424,10812,32904,29121,31185,30861,26487,41899,23568,82951,38518,25164,15168,22980,23071,22544,18909,28245,87641,16123,24893,47350,32679,21743,19347,13510,14505,19396,10806,14518,12069,23156,50556,13244,18793,14028,48988,7868,7110,26453,25622,5876,0
Massachusetts,52117,37036,64948,64288,213177,44590,34767,56985,147547,33787,46243,103859,34607,38993,27875,35613,42003,56550,26268,42849,73967,84068,24172,44528,62716,28089,5071,5303,32264,104136,26037,83165,22413,24958,21260,79439,38619,38591,19666,35440,45528,22555,15399,15586,15330,10548,27682,62292,57989,25425,20640,12074,18207,16755,4326,10743,3599,32709,62581,23177,12767,35933,31113,34760,1568,30006,39954,4788,0
Michigan,22036,19198,31522,13105,81558,34253,16633,45429,65752,63000,77763,79453,27439,28514,53359,27984,4004,80531,21914,77832,23902,111725,40284,56699,39855,58680,130175,122773,39986,12919,51794,65436,23954,15514,32927,120206,66893,74780,50424,12532,43656,64818,62111,184462,225187,96976,60173,94640,77965,73319,95773,80078,62105,72324,71911,38803,106127,91052,31271,46684,42594,46457,56122,29072,68031,31228,37909,45415,0
Minnesota,16266,30221,28588,29538,76337,39854,18547,29525,32140,67560,101223,66629,16019,30811,45562,30119,7777,72333,19643,35717,25765,78632,31475,30523,24356,33961,90752,63322,30153,38318,25934,30198,13290,14838,12489,33844,26806,20731,22649,17312,28364,21504,12894,89389,16987,49825,25705,51111,43182,30564,45286,54768,7253,21995,41530,16946,30173,38361,21015,24134,13997,29437,30446,6283,22734,14665,14430,14525,0
Mississippi,126,294,269,0,14914,396,0,454,10615,1390,19298,2812,1534,1544,10906,2151,0,6625,0,2609,0,4120,25634,9971,4683,5391,70015,39790,28787,0,4724,10256,4603,2847,0,12380,8857,29648,24440,0,2085,0,0,105243,0,16285,8251,7880,7193,10152,47638,12276,24809,17967,47290,0,139541,55126,10543,25486,9320,16105,0,17895,151457,9642,8327,45471,0
Missouri,13973,10667,17164,10103,37950,15211,7738,23483,26500,39723,35754,54248,17526,23057,36733,25364,4675,24955,12240,38867,19802,67410,28978,25358,35240,42428,116633,76235,50305,17194,31953,23285,20330,17613,12216,72362,44730,34802,37090,12402,21807,7040,12965,130251,51256,47582,45808,43623,44850,52507,76324,52941,39081,44899,66983,2323,108244,61460,27366,34828,24996,28914,23473,24521,82119,23102,22912,42635,0
Montana,105,202,193,0,10035,392,0,689,5670,5306,34055,4653,5558,2605,11363,1946,0,28329,0,5721,0,9028,3693,6728,6740,5751,14077,11799,12118,0,3350,6778,1596,1194,0,7992,6737,5676,5106,0,2990,0,0,27391,0,25165,893,18774,12315,6044,10219,30789,3925,6654,15296,0,23157,13239,5658,10230,1677,6687,0,3829,11125,635,3337,6834,0
Nebraska,3084,7941,5113,0,13809,11618,0,7229,6663,22548,22843,21155,7091,18517,10083,11649,0,14663,0,10849,0,21210,6207,6417,16314,21807,35030,28400,12047,0,18786,5898,9980,11121,0,20201,15656,6835,6916,0,8836,0,0,34012,0,20783,26535,19693,19092,24655,13413,23645,8347,13730,18518,0,14427,11072,13186,8925,13337,6965,1,8716,7384,14465,7975,7330,0
Nevada,6489,4463,8105,5845,17101,15779,12949,12722,20669,19460,12800,47003,35624,33138,7333,19593,2063,15317,13732,35404,7206,34265,8167,7363,49292,25484,9788,8668,13339,1666,35981,16198,17294,16551,20198,31010,17164,9328,5324,8731,11136,52344,49897,13100,84534,5190,20837,21108,16111,12303,5485,8373,5919,6435,4911,33799,10146,10808,21602,5532,7016,9711,83530,5844,5683,18952,12668,2638,0
New Hampshire,1183,987,1412,0,48851,2017,0,2675,27838,3781,45958,11189,4773,5009,13009,3492,0,55519,0,4064,0,7623,10047,18319,10339,4566,13823,16978,18649,0,2536,16197,920,6267,0,7340,4857,13478,8120,0,3143,0,0,24123,0,14245,5281,5195,5499,1949,9945,16234,1344,1536,9435,0,10118,18068,7588,15592,659,11400,0,1976,6718,4227,4660,3652,0
New Jersey,94317,69794,146048,54363,157264,83375,54386,87395,77236,49266,38994,193073,47332,48516,21482,52530,57839,48330,64432,76462,52230,157585,21469,34627,58511,30632,6438,5550,22603,55886,27017,50084,26715,30286,71990,94595,45523,25642,19129,56835,51979,127025,49410,12175,87490,7027,21063,32696,72184,28116,21285,5859,18742,25684,3565,96775,3341,27574,65430,13852,21571,31986,124934,20631,2336,23967,27331,4436,0
New Mexico,2920,972,2568,3895,9874,2160,10943,4940,11550,8507,9485,8630,2641,9596,6097,8187,2406,19852,14468,11727,5807,14269,8120,6063,3594,11781,11312,9591,17428,2798,14266,9822,11057,3246,15528,19867,11859,16495,14180,10400,4767,3327,14711,26363,18192,11833,6018,5495,17782,13498,32081,21699,18591,20300,12854,330,50379,37299,6073,6460,17191,14033,26089,7792,35335,6706,6692,23418,0
New York,108874,59277,123931,198391,132647,69904,264742,125049,115470,48859,84253,223086,42566,62763,47036,60583,508890,106337,234291,90027,126645,200055,27285,72070,63980,52157,113253,117116,53756,308866,42280,77203,30027,23379,261461,147004,70999,66536,37304,249692,54650,247443,194035,164816,180695,77781,35661,90502,97925,43638,49478,59143,38582,43373,62654,138563,81833,69056,71024,50866,21467,46143,555105,53004,53724,23068,49456,19478,0
North Carolina,22285,34542,39495,0,137815,49763,0,25627,86173,46735,56191,52909,56118,44292,70886,35861,0,62651,0,37763,0,58781,69210,64367,68126,40735,154001,110532,146035,0,42971,90112,22972,59656,0,58987,42164,117174,99194,0,20710,0,0,240074,0,73368,111106,89799,46542,66456,169514,71150,62878,48285,117792,0,238147,180780,69972,91465,28904,76288,0,51033,196272,60907,41766,93579,0
North Dakota,222,1941,412,0,2212,2165,0,592,1840,10850,20921,5250,3032,3981,9003,1119,0,7415,0,2673,0,7291,1834,3379,6410,7489,24526,15186,13957,0,3443,1899,1083,2334,0,2404,3315,2385,4310,0,2026,0,0,17610,0,8613,12695,13101,8449,6245,6743,11298,819,5323,9137,0,5650,5504,4701,11593,2167,2905,0,2854,5810,5783,1871,2991,0
Ohio,18860,30819,31677,21114,103111,36925,14526,43078,83997,72137,55501,97556,29151,42379,55955,41822,6249,46766,14270,103273,28859,128699,44804,64881,67050,79251,180884,130050,62266,49186,74233,88251,35889,31905,21126,180538,101454,97866,59114,19177,53742,60521,53154,190999,168438,75541,71901,103073,122593,102898,109569,48283,126158,108402,69633,20280,92903,125683,56858,41307,50643,66211,88356,69640,77598,55384,75643,48613,0
Oklahoma,5151,3599,5226,0,18811,6414,0,7702,13555,15055,33515,17300,11136,18969,18337,15673,0,17312,0,15984,0,22348,23180,12786,22853,30005,72835,43477,42813,0,30888,11394,19681,10290,0,41334,27295,30595,25121,0,8954,0,0,97695,0,20857,30170,38545,20718,46805,54530,21927,33150,38896,38397,0,99868,45690,29322,22881,27347,19234,0,30843,76406,23662,19862,35961,0
Oregon,12943,14385,19323,40669,22815,24009,29419,19155,19245,30330,38610,36506,28950,18593,15631,13162,14265,56239,37914,28424,57767,42052,9892,15071,19693,22396,21919,26138,26831,47292,18152,22971,9049,16064,43421,32674,15727,26727,16054,31545,20193,28008,25996,40128,21639,30376,35403,24154,34938,19367,24100,41308,12355,16489,15454,17623,37424,32862,19377,17890,11323,25572,31455,6250,12093,16686,11752,12614,0
Pennsylvania,39317,27454,55576,38887,155993,41924,23220,64240,131208,65604,52935,143780,33854,32744,81829,42420,17737,56380,33482,94254,70469,160274,48338,109831,50736,69433,160325,144392,65071,79365,47383,120454,29558,25169,72097,165505,92157,108786,67465,37223,62141,88259,66052,181913,214444,114223,44943,59306,131657,72253,105775,87946,70411,85922,83142,45915,89680,132913,70840,37295,43040,75462,64405,54695,48076,35204,53131,30387,0
Rhode Island,2221,1522,2688,3646,17267,2943,2888,6834,16875,6554,10650,16569,4399,4546,3958,5130,2197,12993,2668,14490,7228,16391,2121,6311,6800,9751,667,630,3111,6668,5688,10573,1557,2499,8605,20853,8220,3384,1707,3644,8797,22296,13603,2761,26064,1957,2780,6756,12573,5190,1969,1600,2525,4507,617,14595,740,4210,5639,1789,910,4447,20297,1404,327,3412,4831,468,0
South Carolina,3664,3287,6775,0,69704,5727,0,5578,53426,21542,29054,24329,15647,21449,37990,21503,0,32131,0,22925,0,29998,56768,39755,31812,20426,64266,50338,64765,0,21686,68879,13339,5329,0,42552,26570,61428,59693,0,8256,0,0,112078,0,29714,16640,62669,25882,24278,87196,22792,41359,32756,42094,0,153433,105776,22631,43038,14441,38970,0,26187,144627,9763,17115,54820,0
South Dakota,349,811,327,0,9496,1212,0,1687,4933,4747,17926,3903,1743,4022,11261,1777,0,11874,0,2321,0,4935,3351,5880,4639,5430,23012,16985,16733,0,3298,5251,1372,293,0,4773,4553,4878,4949,0,2351,0,0,22770,0,13656,1009,10468,7675,4780,11069,14079,2293,5381,11074,0,8450,9773,4195,13996,2192,4264,0,1484,15386,884,2950,6825,0
Tennessee,9558,10094,15788,0,77789,15723,0,11753,43809,20415,64600,26537,42825,31098,37766,21445,0,33258,0,15392,0,36587,43638,38184,52327,41430,122144,86898,74835,0,41513,36779,24229,37173,0,47945,41270,64865,54923,0,10130,0,0,188613,0,54901,62308,39103,34019,51164,92711,40822,59447,47296,81946,0,179827,103230,39001,48973,26609,35039,0,56704,141059,45729,32424,55063,0
Texas,69990,147282,138710,99402,202608,204682,56990,67278,91381,169510,233981,252113,129011,270068,74598,191179,35825,135927,34286,83027,61256,209729,166114,49694,212779,186159,260117,179167,226023,175269,390020,58863,270349,209375,41337,276702,165756,113134,125574,72105,50484,170230,73834,322877,249296,72028,277290,211699,109756,196851,215125,99880,241245,152432,121862,148645,237077,163532,250025,107910,318690,70074,215159,145126,248526,213005,106610,154651,0
Utah,6009,18915,11082,23986,42498,33224,20665,11748,8803,30835,28831,18384,9835,52766,18838,27712,5153,11646,40565,8788,34634,28954,26359,7761,16520,15295,22084,7002,19067,20282,27824,9271,20647,8339,36296,17297,9372,8299,16074,12565,4623,28747,13827,21894,23352,6336,15931,18008,13714,19118,14470,8471,5551,6851,7173,13698,5918,8062,13171,7591,14083,4865,30737,2315,5065,7048,4390,3472,0
Vermont,175,131,320,0,5589,551,0,389,4351,971,29003,2239,3029,829,4186,808,0,32520,0,1217,0,2071,1230,4252,2815,693,14485,15554,5366,0,104,4148,12,1611,0,1706,736,4147,2310,0,1032,0,0,26479,0,13821,4914,2749,2126,866,3749,18742,445,453,13373,0,11910,6538,1629,5686,28,4777,0,552,5025,1166,753,2367,0
Virginia,68841,96438,113772,50440,94593,108844,22653,41745,51727,38585,104202,87298,49536,72400,24802,53115,17167,91674,10748,35523,20819,78290,28347,24513,67232,43263,80690,71078,42020,56627,40064,38158,34780,58928,7675,75489,50865,34250,24376,27905,20943,9976,10336,129059,19617,54064,63103,57630,43851,51247,39020,59813,41524,40117,58601,8585,129962,47043,69643,29085,31597,22026,18570,25590,61512,44178,31731,18360,0
Washington,37015,86597,62477,87377,95723,111379,37689,42256,57089,76707,89307,112242,59121,75383,33912,39023,27911,86709,19097,44205,39527,92739,20531,28684,58302,50937,37581,34009,40833,99868,44160,43838,24340,53424,23549,62727,34477,26946,21079,30098,36379,15027,18297,63796,17201,36290,65802,48422,69385,38397,27427,39211,18369,30615,21641,9169,28651,32108,57232,25092,27857,23946,35143,13708,16672,43357,30148,11397,0
West Virginia,62,77,51,0,5031,203,0,322,8054,1267,10182,2485,3579,1699,8861,1470,0,7112,0,2827,0,3364,11215,8431,3731,4182,39293,31713,16709,0,1845,9535,1222,1549,0,10308,6243,25006,14419,0,2625,0,0,61039,0,24071,9253,5666,11004,8712,31456,24170,12003,13525,45983,0,98874,39791,3227,5746,2617,15511,0,6138,47361,2341,6296,12685,0
Wisconsin,4369,5877,7381,8995,62278,10366,4969,12536,51931,42621,84250,47619,21801,10834,58898,10615,3532,67786,6013,39874,12126,61495,11583,55636,23984,40063,124815,102317,40573,20776,28208,49679,15510,10831,8632,51940,34471,30175,26874,6589,26072,38219,23931,129350,47287,76252,45863,59139,48986,43762,43454,69302,16344,32065,55702,26330,39972,49542,29569,51186,19724,32295,27544,17414,32232,21660,20099,19798,0
Wyoming,31,157,27,0,7472,650,0,147,3840,2164,17818,1462,796,1342,7876,767,0,13374,0,1719,0,2622,3819,5441,1418,3457,15529,7989,10913,0,2200,4115,1249,695,0,2914,2463,5909,6456,0,1163,0,0,12076,0,6829,2970,3034,3805,3749,9733,6591,1767,3478,5232,0,5365,9913,1486,6679,2143,3351,0,1109,3314,990,1393,5573,0
