STATE,SALES_MONTH,TOTAL_DOLLARS
North Carolina,2025-11-01,4840598.39
Florida,2024-11-01,169378962.93
Florida,2024-07-01,163016185.49
Nevada,2025-10-01,66416747.66
Michigan,2024-04-01,280306217.89
Alberta,2025-12-01,55292827.91
Oregon,2023-07-01,83854475.14
Washington,2025-02-01,88935031.88
Maryland,2023-03-01,42609317.15
Ontario,2025-07-01,196260691.06
Arizona,2025-06-01,95825487.52
Arizona,2025-10-01,95881900.00
Colorado,2023-03-01,141569271.73
British Columbia,2024-01-01,66214724.62
Manitoba,2023-01-01,11843561.85
Maine,2026-03-01,37578620.32
Montana,2024-12-01,28443171.01
Washington,2025-03-01,100667583.08
Puerto Rico,2023-02-01,13539986.90
Illinois,2023-12-01,146117843.97
Maine,2024-06-01,43891760.70
Pennsylvania,2025-11-01,92570898.26
West Virginia,2026-03-01,7395411.47
Virginia,2025-10-01,15721414.37
Connecticut,2025-02-01,22269732.23
Mississippi,2023-11-01,7855306.09
New York,2024-01-01,39040935.43
Manitoba,2022-12-01,13563568.20
Oregon,2024-12-01,80562270.08
Manitoba,2025-04-01,10096908.62
Arizona,2022-11-01,115537412.91
Alaska,2023-07-01,18185076.61
Vermont,2023-05-01,8710368.78
West Virginia,2024-03-01,7948485.18
Hawaii,2025-08-01,3068956.38
Minnesota,2023-09-01,6283244.41
Connecticut,2025-03-01,24412622.85
Connecticut,2023-09-01,25374034.46
Utah,2023-08-01,11143162.14
Minnesota,2023-06-01,5763838.90
New Brunswick,2025-07-01,2328601.45
Minnesota,2023-03-01,5164419.96
Rhode Island,2025-02-01,6986656.06
Utah,2023-11-01,13476719.24
Hawaii,2023-10-01,3048159.53
Nova Scotia,2023-10-01,1956947.52
Nova Scotia,2024-07-01,1883948.30
Newfoundland and Labrador,2023-05-01,5352191.72
North Dakota,2024-07-01,1500465.14
Georgia,2025-06-01,788298.39
Delaware,2025-07-01,1826703.03
Texas,2025-10-01,432318.89
Iowa,2025-10-01,1254882.05
Mississippi,2022-10-01,749563.23
New Hampshire,2024-10-01,1064712.91
South Carolina,2022-12-01,0.00
North Carolina,2024-11-01,4146157.88
Washington,2024-10-01,87807478.77
Florida,2023-09-01,147930803.33
Nevada,2024-07-01,69982825.42
Pennsylvania,2022-10-01,78167025.76
Massachusetts,2026-03-01,145422122.61
Ontario,2024-06-01,188099772.22
Oklahoma,2022-12-01,150055987.95
Colorado,2024-06-01,115516116.82
Pennsylvania,2025-07-01,96090862.80
Illinois,2025-07-01,131252315.04
Ontario,2025-08-01,198595430.32
Maryland,2025-07-01,100855004.08
Manitoba,2023-02-01,11519143.16
Oklahoma,2025-04-01,121090757.97
Colorado,2024-05-01,114765319.70
Ontario,2025-01-01,183184825.12
New Mexico,2024-06-01,48802202.26
Montana,2024-02-01,26200540.88
Saskatchewan,2026-02-01,5775930.50
Missouri,2023-12-01,124681158.28
Colorado,2023-07-01,138884704.73
Illinois,2024-09-01,131752387.57
Ohio,2024-09-01,78040793.17
Mississippi,2025-09-01,17362540.73
Alaska,2025-10-01,19523242.63
Alaska,2025-05-01,17892757.28
Newfoundland and Labrador,2025-10-01,7897276.15
Maine,2024-12-01,42471505.75
Vermont,2025-10-01,12680178.51
Ohio,2023-10-01,44179136.61
Saskatchewan,2025-08-01,8338731.25
West Virginia,2025-01-01,10513999.78
New York,2023-05-01,16055663.14
Newfoundland and Labrador,2025-07-01,8768727.42
Colorado,2022-09-01,156345768.73
Oklahoma,2024-03-01,134731202.93
Manitoba,2025-05-01,9932586.16
California,2025-01-01,335185533.14
New Mexico,2026-03-01,47306474.99
British Columbia,2025-08-01,64647430.62
British Columbia,2023-01-01,55925167.83
Montana,2023-05-01,26147066.72
New Mexico,2022-12-01,43431029.24
South Dakota,2023-11-01,5125104.67
Puerto Rico,2023-01-01,24682051.50
South Dakota,2024-01-01,5005337.57
West Virginia,2024-07-01,8157996.51
Rhode Island,2025-09-01,8572027.12
New Brunswick,2025-06-01,2169325.72
Minnesota,2024-09-01,13655135.06
Newfoundland and Labrador,2022-10-01,5051608.76
Utah,2023-04-01,6901116.19
Vermont,2025-02-01,11387953.21
Virginia,2023-09-01,13020953.60
Connecticut,2023-01-01,18643219.94
Connecticut,2024-06-01,24141281.11
Arkansas,2024-02-01,22218451.58
New Brunswick,2024-07-01,1831336.06
Louisiana,2024-11-01,10367860.31
Nova Scotia,2025-02-01,2257860.60
Iowa,2025-12-01,1197389.70
Nova Scotia,2025-04-01,2715639.13
Delaware,2022-12-01,3155482.16
Nova Scotia,2025-05-01,2619729.54
Nova Scotia,2023-01-01,1430944.95
Nova Scotia,2023-09-01,1840045.27
Louisiana,2023-02-01,4390079.60
Texas,2025-05-01,208326.62
Texas,2023-09-01,943956.57
Georgia,2024-09-01,718511.08
Nunavut,2025-05-01,1230851.74
Georgia,2023-06-01,265845.17
South Carolina,2024-02-01,0.00
North Carolina,2025-09-01,4458696.46
Nevada,2025-11-01,63917567.17
Mississippi,2025-06-01,15784530.33
Ontario,2023-09-01,193084066.11
Alberta,2023-10-01,92222358.68
Michigan,2023-07-01,278472933.54
Oklahoma,2024-04-01,128945410.66
Washington,2024-11-01,93983117.68
Massachusetts,2023-08-01,160007237.37
Arizona,2025-02-01,103316358.20
Massachusetts,2025-02-01,146950737.76
Oregon,2024-07-01,84116851.14
British Columbia,2026-03-01,61810353.85
Arizona,2025-01-01,109447340.39
New Jersey,2024-01-01,80702153.38
Montana,2023-08-01,30250507.72
Missouri,2022-11-01,39900439.72
Massachusetts,2023-02-01,135503111.58
Ohio,2024-08-01,80770562.69
Maryland,2022-09-01,40874499.92
Manitoba,2026-03-01,9930720.20
Puerto Rico,2024-10-01,33410394.72
Puerto Rico,2025-04-01,11109104.46
Alaska,2023-10-01,19762056.17
Maine,2023-12-01,43045167.08
West Virginia,2024-08-01,8438474.08
Newfoundland and Labrador,2026-01-01,7910085.03
Maryland,2024-08-01,101327777.28
Manitoba,2023-05-01,13395840.43
Minnesota,2024-05-01,14190695.16
New York,2023-03-01,14167945.51
New York,2022-11-01,18382720.66
Manitoba,2023-03-01,13172660.53
Nevada,2024-11-01,67331895.16
Louisiana,2024-12-01,11853541.17
New Mexico,2022-10-01,38909442.74
Hawaii,2025-05-01,2946400.38
Utah,2023-07-01,7399080.31
Arkansas,2023-12-01,24823521.47
Hawaii,2023-06-01,2752786.30
South Dakota,2024-10-01,5507895.84
Vermont,2024-09-01,12333231.62
Connecticut,2025-04-01,24000435.92
Connecticut,2024-03-01,24874671.09
Utah,2023-05-01,7255852.94
New Brunswick,2025-11-01,1868191.16
Newfoundland and Labrador,2024-03-01,6324515.02
Georgia,2025-09-01,877885.16
Arkansas,2025-01-01,23665066.08
Vermont,2023-12-01,10361708.30
Virginia,2022-12-01,9532609.95
New Brunswick,2023-01-01,2508900.42
New Hampshire,2025-02-01,780456.34
North Dakota,2025-08-01,1657183.32
North Dakota,2023-06-01,1297613.59
Hawaii,2023-08-01,3017510.69
New Hampshire,2025-08-01,873712.52
Yukon,2022-09-01,1148445.00
Texas,2022-10-01,779088.40
New Hampshire,2026-01-01,808033.83
District of Columbia,2023-02-01,4393739.71
North Dakota,2025-06-01,1446847.52
Rhode Island,2022-11-01,3093369.27
New Hampshire,2023-07-01,951475.48
Yukon,2025-12-01,599669.77
Nunavut,2024-07-01,971852.48
Iowa,2024-02-01,1350904.64
Nunavut,2026-03-01,553546.25
Quebec,2024-01-01,0.00
Nunavut,2025-11-01,552971.51
Florida,2025-09-01,161173260.11
Ohio,2025-03-01,85081351.69
Oklahoma,2024-06-01,134958867.89
Michigan,2024-06-01,280718881.91
Michigan,2024-12-01,267580997.65
Maryland,2024-07-01,96163764.37
Florida,2023-02-01,127999570.53
Colorado,2022-10-01,151140195.84
New York,2025-02-01,117713318.73
Missouri,2025-11-01,125885570.49
New Mexico,2025-02-01,44967368.21
Colorado,2025-06-01,112132398.92
Alberta,2025-01-01,58733918.22
New Mexico,2023-02-01,42028608.32
Alaska,2025-06-01,18319862.04
Mississippi,2025-11-01,16358607.89
Maryland,2023-02-01,38016171.11
New Mexico,2025-07-01,49227634.02
New York,2024-12-01,121439883.12
Alaska,2024-03-01,18078652.34
Michigan,2023-02-01,217998562.86
Puerto Rico,2023-05-01,28367162.05
Alaska,2022-10-01,19019245.43
Nevada,2025-02-01,61666711.48
Montana,2024-04-01,27218110.20
New Jersey,2023-05-01,54074759.32
Newfoundland and Labrador,2024-12-01,7015348.59
Arkansas,2023-01-01,23773903.62
Arizona,2022-12-01,126029886.08
West Virginia,2023-03-01,4879706.51
South Dakota,2024-12-01,5703152.98
Newfoundland and Labrador,2026-03-01,7912583.27
West Virginia,2024-09-01,7445176.57
South Dakota,2023-08-01,4382969.27
Ohio,2022-09-01,39920785.16
New Brunswick,2025-01-01,1831865.70
South Dakota,2023-10-01,4511347.34
New York,2023-01-01,11718523.01
Oklahoma,2023-08-01,131085950.80
California,2025-11-01,332962131.41
Ontario,2025-04-01,184805347.38
New Mexico,2024-12-01,49403951.96
Nevada,2024-03-01,72832603.94
Arizona,2025-05-01,106154851.25
Alberta,2024-08-01,61893364.75
Pennsylvania,2024-11-01,95166985.22
Montana,2026-03-01,27451682.09
Connecticut,2025-10-01,24856587.71
Alaska,2024-04-01,18669619.65
Maine,2025-03-01,40674201.53
Manitoba,2025-11-01,10070624.07
Mississippi,2024-12-01,11859702.53
Manitoba,2025-08-01,11087182.59
Vermont,2025-11-01,11298893.39
Nova Scotia,2024-11-01,2508685.52
Yukon,2025-11-01,535116.99
Colorado,2024-03-01,128917730.55
New Mexico,2025-10-01,47199064.03
Alberta,2023-04-01,68409440.33
Massachusetts,2024-09-01,152210037.31
Arkansas,2025-02-01,22005253.70
South Dakota,2022-11-01,3418703.51
Iowa,2023-09-01,1258029.46
District of Columbia,2024-11-01,3900184.91
Newfoundland and Labrador,2025-09-01,8691704.68
Georgia,2025-10-01,866341.74
Utah,2025-08-01,14142130.33
Virginia,2025-06-01,15683100.32
District of Columbia,2024-08-01,3796530.26
Georgia,2024-06-01,759345.56
Hawaii,2025-11-01,2922518.60
Arkansas,2024-01-01,23163386.71
New Hampshire,2024-06-01,835873.22
Rhode Island,2022-09-01,564602.06
Yukon,2023-01-01,1029566.32
North Carolina,2025-04-01,4131684.92
Florida,2022-11-01,135345576.32
Oklahoma,2025-12-01,104171779.61
British Columbia,2025-05-01,61730893.45
Florida,2023-08-01,144054838.69
Oklahoma,2026-01-01,98050610.72
Oklahoma,2024-10-01,120974734.89
Oregon,2025-05-01,81657122.74
New Mexico,2025-06-01,47880713.56
Ontario,2023-01-01,168560745.54
New York,2025-01-01,122780084.82
Michigan,2023-11-01,262156286.78
New Jersey,2025-06-01,96760773.48
Pennsylvania,2023-09-01,88883201.81
Massachusetts,2024-05-01,156806339.43
Alaska,2024-05-01,18780686.05
British Columbia,2023-08-01,63156153.30
Oregon,2023-10-01,81169167.02
New Mexico,2025-03-01,49986687.34
Michigan,2025-10-01,269307070.46
Massachusetts,2024-01-01,145529147.12
Illinois,2024-11-01,131012934.59
Puerto Rico,2023-04-01,20278415.93
Missouri,2023-05-01,121910809.05
South Dakota,2025-03-01,6173969.61
Pennsylvania,2024-05-01,97170431.43
Alaska,2026-02-01,14619647.47
West Virginia,2024-05-01,8008608.77
Mississippi,2024-01-01,8130729.94
West Virginia,2022-09-01,2779361.71
Saskatchewan,2024-05-01,8929463.89
New York,2023-07-01,23629728.65
South Dakota,2022-12-01,3273170.33
Massachusetts,2026-02-01,136679925.94
Pennsylvania,2022-11-01,80887200.86
Illinois,2025-03-01,137490134.34
British Columbia,2024-09-01,58142436.88
Maine,2024-02-01,40628381.28
Utah,2026-03-01,15192375.88
New Brunswick,2025-09-01,2058958.22
Yukon,2023-05-01,1188861.43
Alaska,2024-09-01,19639797.84
New Jersey,2023-01-01,45994835.05
Connecticut,2023-06-01,24077008.44
New Jersey,2023-06-01,57002540.55
West Virginia,2023-06-01,5532182.34
Utah,2023-10-01,12810800.85
Newfoundland and Labrador,2023-04-01,5277522.35
Louisiana,2025-10-01,16445036.42
Louisiana,2025-04-01,15161308.67
Louisiana,2022-10-01,2008895.41
Newfoundland and Labrador,2025-01-01,6136093.05
Yukon,2023-03-01,1148632.44
Saskatchewan,2025-11-01,7453692.06
Nova Scotia,2024-08-01,10074419.28
Minnesota,2024-11-01,15277121.61
Louisiana,2024-10-01,10115208.86
Hawaii,2023-05-01,2945634.55
Vermont,2022-09-01,1037330.97
Virginia,2026-02-01,14321875.06
Texas,2023-02-01,711401.99
Yukon,2024-10-01,579063.27
Hawaii,2026-03-01,2982665.00
Iowa,2023-04-01,1179328.18
North Dakota,2025-07-01,1732751.66
Rhode Island,2025-06-01,8529878.38
New Hampshire,2023-04-01,885907.22
Iowa,2024-11-01,1197579.87
Nunavut,2023-04-01,660445.46
Texas,2024-11-01,236893.40
Nunavut,2024-02-01,754498.05
Quebec,2024-02-01,0.00
Colorado,2023-01-01,138374865.96
Michigan,2025-07-01,276337419.94
Saskatchewan,2024-01-01,10869791.60
New Jersey,2024-07-01,93028352.96
Massachusetts,2025-01-01,146409032.21
Ontario,2026-01-01,173588137.37
Michigan,2024-10-01,270392638.59
Arizona,2025-04-01,109114770.92
California,2024-12-01,353120436.52
Illinois,2024-03-01,131595708.81
Oregon,2025-02-01,72697954.24
Colorado,2024-11-01,111425561.25
Ontario,2024-08-01,200378245.16
Massachusetts,2024-02-01,145225033.92
Washington,2023-07-01,85069699.07
Maine,2023-07-01,45381693.43
Puerto Rico,2022-12-01,18291156.00
New Mexico,2024-04-01,51888129.39
Alberta,2023-03-01,68069045.07
Manitoba,2024-03-01,14927797.95
New Mexico,2024-11-01,48377729.08
Maryland,2022-12-01,41381308.30
New Jersey,2024-03-01,87324984.23
Nevada,2026-03-01,65828707.08
Newfoundland and Labrador,2025-08-01,8855566.95
Montana,2026-01-01,27310440.15
Puerto Rico,2025-09-01,10855692.01
District of Columbia,2025-09-01,5696731.39
Minnesota,2023-11-01,7121068.77
New Mexico,2023-06-01,48327876.40
Colorado,2024-09-01,114351281.00
Maryland,2023-11-01,90270005.88
Mississippi,2023-10-01,6554565.74
Mississippi,2025-03-01,13408393.17
New Mexico,2023-08-01,48778820.91
Connecticut,2025-12-01,26287438.04
Delaware,2026-03-01,5863453.58
Illinois,2022-09-01,125139671.77
West Virginia,2025-06-01,7644107.37
Nevada,2024-10-01,68539059.42
Arkansas,2022-12-01,24870886.50
Maryland,2023-05-01,41031293.52
Manitoba,2024-05-01,11182205.33
Hawaii,2025-07-01,3094054.51
Louisiana,2024-04-01,9228292.25
New York,2023-04-01,15203750.47
Connecticut,2022-10-01,17307092.71
Utah,2025-10-01,15530501.33
Utah,2024-01-01,12927856.23
North Dakota,2024-04-01,1393519.04
Nova Scotia,2025-12-01,4192576.22
Rhode Island,2024-02-01,6934688.69
Virginia,2024-01-01,13461622.03
Louisiana,2022-11-01,2790617.32
Delaware,2025-11-01,5136647.14
Virginia,2026-03-01,15690912.59
Kentucky,2026-03-01,578242.59
Delaware,2025-09-01,4944208.57
North Dakota,2025-01-01,1637357.75
Yukon,2023-07-01,1396611.81
Iowa,2025-05-01,1233621.25
Yukon,2025-10-01,641574.65
Yukon,2024-06-01,615484.94
Nunavut,2022-11-01,485536.90
Nunavut,2022-09-01,395022.50
Nunavut,2025-06-01,1172695.64
Nunavut,2025-03-01,1719302.82
Florida,2023-10-01,152224721.30
Alaska,2023-01-01,18453491.02
Florida,2025-12-01,172475929.55
Massachusetts,2025-03-01,153812741.15
Michigan,2023-12-01,281672549.07
California,2024-08-01,364625861.33
Maryland,2025-12-01,103581486.61
California,2023-06-01,403280254.96
Connecticut,2024-12-01,25661146.80
Michigan,2025-01-01,248982220.47
Arizona,2025-09-01,88949259.90
Colorado,2025-08-01,118302755.39
Oregon,2023-01-01,77297855.94
New Mexico,2025-09-01,45173045.57
Arizona,2023-04-01,121458144.50
Massachusetts,2024-04-01,151852547.20
Colorado,2024-04-01,122202637.32
British Columbia,2025-01-01,58272214.76
Missouri,2023-04-01,122220620.22
Massachusetts,2023-05-01,150203817.14
Ohio,2025-06-01,88082091.18
Puerto Rico,2024-07-01,36019341.66
Mississippi,2025-05-01,14824949.41
Vermont,2023-11-01,9769504.38
Utah,2025-07-01,14404845.04
Vermont,2025-01-01,11788190.19
District of Columbia,2022-10-01,4497521.73
Oregon,2025-06-01,78162009.38
New Jersey,2026-03-01,102129610.39
Ontario,2026-02-01,156905345.48
Ohio,2025-04-01,86796932.52
Connecticut,2025-06-01,24004035.07
Arkansas,2023-02-01,22808250.68
West Virginia,2023-08-01,6108865.76
Pennsylvania,2023-08-01,90594656.32
Arizona,2024-08-01,100969090.85
Alaska,2022-09-01,21412192.20
West Virginia,2025-02-01,10126066.93
Arkansas,2025-12-01,25205900.57
Arkansas,2025-09-01,22762749.99
South Dakota,2025-02-01,5703384.10
Delaware,2025-06-01,1730037.48
Minnesota,2025-06-01,21011619.53
Rhode Island,2023-03-01,4786597.45
New York,2023-11-01,29874855.53
Maryland,2023-01-01,38316608.96
Arkansas,2023-05-01,23609537.78
New Jersey,2023-11-01,74285243.01
Newfoundland and Labrador,2023-07-01,5996684.38
Texas,2025-04-01,242674.50
Louisiana,2024-03-01,8565134.63
Hawaii,2024-04-01,3147914.13
Maryland,2024-10-01,96803628.26
District of Columbia,2024-06-01,3811990.48
Minnesota,2023-08-01,6365587.56
North Dakota,2026-03-01,1679740.14
Texas,2025-07-01,235410.44
New Hampshire,2023-11-01,764216.70
Rhode Island,2024-10-01,7612026.12
Louisiana,2024-09-01,9903124.44
New Hampshire,2023-08-01,1092094.14
District of Columbia,2023-06-01,4715633.81
Nova Scotia,2025-03-01,2643698.63
New Hampshire,2024-09-01,766896.93
Yukon,2024-09-01,589339.42
Georgia,2024-03-01,803450.34
Iowa,2024-06-01,1132829.31
Iowa,2022-10-01,1089012.87
Nunavut,2023-01-01,666818.94
Yukon,2023-06-01,1319412.12
Yukon,2024-05-01,597939.63
Nunavut,2023-09-01,746130.75
Northern Mariana Islands,2022-10-01,0.00
South Carolina,2022-11-01,0.00
North Carolina,2025-12-01,4919624.45
Nunavut,2025-04-01,1145990.88
North Carolina,2026-03-01,4809291.66
North Carolina,2024-04-01,216346.48
Oklahoma,2025-05-01,117818679.09
California,2025-12-01,346898708.73
Michigan,2023-06-01,262484828.09
New Jersey,2026-02-01,94911655.36
Washington,2024-04-01,89499936.24
Oklahoma,2025-11-01,102576124.69
California,2025-08-01,343409787.55
Washington,2023-05-01,72475131.43
Illinois,2025-12-01,132161108.68
California,2024-10-01,344612656.02
Washington,2022-09-01,90694799.50
Arizona,2023-12-01,118939126.35
Missouri,2025-12-01,133837944.80
Missouri,2026-01-01,126774743.64
Oklahoma,2025-10-01,107125900.24
Alberta,2023-05-01,68534728.54
New York,2024-11-01,105128565.29
British Columbia,2025-12-01,65077113.79
British Columbia,2023-09-01,60168046.54
Montana,2023-09-01,29495334.17
Mississippi,2024-06-01,9177062.85
Colorado,2026-03-01,104391229.06
Maine,2023-06-01,44279851.61
Manitoba,2024-11-01,11006646.34
Vermont,2023-03-01,8068215.91
Mississippi,2023-12-01,8534168.88
South Dakota,2024-09-01,5243420.19
Manitoba,2025-12-01,11123399.60
Saskatchewan,2022-10-01,9811926.71
Newfoundland and Labrador,2025-02-01,6867430.48
Virginia,2024-09-01,14673584.52
Delaware,2025-12-01,5398552.75
Oregon,2026-01-01,76423806.47
Ohio,2024-03-01,43080616.40
Nevada,2023-06-01,71515870.36
Nevada,2025-07-01,65314380.00
Alaska,2024-11-01,18232989.43
Alberta,2026-01-01,51890042.99
New Jersey,2025-04-01,93024217.54
Alberta,2025-03-01,58040297.44
Saskatchewan,2025-03-01,8296512.55
British Columbia,2023-10-01,70954273.69
Vermont,2025-05-01,12612832.97
Minnesota,2025-07-01,22101113.43
West Virginia,2025-09-01,7568251.80
Virginia,2025-11-01,15340860.43
Minnesota,2025-11-01,22028350.15
South Dakota,2025-12-01,6115935.93
West Virginia,2026-02-01,7395904.83
Saskatchewan,2022-11-01,9049045.44
Connecticut,2023-10-01,25036031.36
Virginia,2025-04-01,15961901.02
Delaware,2024-10-01,2689564.81
Nova Scotia,2026-01-01,3313038.77
Rhode Island,2025-01-01,7295729.02
Virginia,2025-08-01,15767598.40
Utah,2023-12-01,13808988.63
Texas,2023-08-01,883085.91
Iowa,2025-11-01,1156469.99
Texas,2024-06-01,219953.52
New Brunswick,2026-03-01,1780992.96
District of Columbia,2022-12-01,5059586.14
Nova Scotia,2023-03-01,1561084.65
Yukon,2023-08-01,1434740.17
North Dakota,2024-02-01,1465415.96
New Hampshire,2026-02-01,655183.51
Rhode Island,2023-02-01,4212376.43
North Dakota,2026-01-01,1695803.75
Nunavut,2024-04-01,1013464.44
North Carolina,2025-07-01,4677392.68
